Age [ka BP],CO2 [µmol/mol],CH4 [nmol/mol],N2O [nmol/mol]
10.706,267.23,674.64,268.92
10.707,267.24,674.81,268.91
10.708,267.24,674.89,268.89
10.709,267.25,674.88,268.88
10.71,267.25,674.75,268.87
10.711,267.26,674.49,268.85
10.712,267.26,674.11,268.84
10.713,267.26,673.61,268.82
10.714,267.27,673.02,268.81
10.715,267.27,672.39,268.8
10.716,267.28,671.74,268.78
10.717,267.28,671.13,268.77
10.718,267.29,670.59,268.76
10.719,267.29,670.13,268.75
10.72,267.3,669.77,268.74
10.721,267.3,669.48,268.72
10.722,267.31,669.26,268.71
10.723,267.31,669.07,268.7
10.724,267.32,668.9,268.69
10.725,267.32,668.73,268.68
10.726,267.32,668.55,268.67
10.727,267.33,668.37,268.66
10.728,267.33,668.21,268.65
10.729,267.34,668.09,268.64
10.73,267.34,668.01,268.63
10.731,267.35,667.98,268.62
10.732,267.35,668.0,268.61
10.733,267.36,668.04,268.61
10.734,267.36,668.09,268.6
10.735,267.37,668.14,268.59
10.736,267.37,668.19,268.58
10.737,267.37,668.26,268.57
10.738,267.38,668.37,268.57
10.739,267.38,668.54,268.56
10.74,267.39,668.76,268.55
10.741,267.39,669.04,268.55
10.742,267.4,669.33,268.54
10.743,267.4,669.64,268.54
10.744,267.41,669.95,268.53
10.745,267.41,670.26,268.52
10.746,267.42,670.58,268.52
10.747,267.42,670.91,268.51
10.748,267.42,671.25,268.51
10.749,267.43,671.62,268.5
10.75,267.43,671.99,268.5
10.751,267.44,672.38,268.5
10.752,267.44,672.77,268.49
10.753,267.45,673.18,268.49
10.754,267.45,673.6,268.49
10.755,267.46,674.01,268.48
10.756,267.46,674.42,268.48
10.757,267.47,674.82,268.48
10.758,267.47,675.21,268.48
10.759,267.47,675.56,268.47
10.76,267.48,675.88,268.47
10.761,267.48,676.15,268.47
10.762,267.49,676.38,268.47
10.763,267.49,676.56,268.47
10.764,267.5,676.69,268.47
10.765,267.5,676.77,268.47
10.766,267.51,676.8,268.47
10.767,267.51,676.79,268.47
10.768,267.51,676.75,268.47
10.769,267.52,676.65,268.47
10.77,267.52,676.5,268.47
10.771,267.53,676.28,268.47
10.772,267.53,675.99,268.47
10.773,267.54,675.63,268.47
10.774,267.54,675.23,268.47
10.775,267.55,674.78,268.48
10.776,267.55,674.32,268.48
10.777,267.56,673.86,268.48
10.778,267.56,673.4,268.48
10.779,267.56,672.96,268.49
10.78,267.57,672.54,268.49
10.781,267.57,672.14,268.49
10.782,267.58,671.75,268.5
10.783,267.58,671.35,268.5
10.784,267.59,670.92,268.51
10.785,267.59,670.45,268.51
10.786,267.6,669.92,268.52
10.787,267.6,669.35,268.52
10.788,267.6,668.74,268.53
10.789,267.61,668.11,268.53
10.79,267.61,667.47,268.54
10.791,267.62,666.82,268.54
10.792,267.62,666.2,268.55
10.793,267.63,665.61,268.56
10.794,267.63,665.06,268.56
10.795,267.63,664.56,268.57
10.796,267.64,664.09,268.58
10.797,267.64,663.67,268.59
10.798,267.65,663.3,268.59
10.799,267.65,662.99,268.6
10.8,267.66,662.73,268.61
10.801,267.66,662.53,268.62
10.802,267.67,662.38,268.63
10.803,267.67,662.27,268.64
10.804,267.67,662.2,268.65
10.805,267.68,662.15,268.66
10.806,267.68,662.14,268.67
10.807,267.69,662.14,268.68
10.808,267.69,662.15,268.69
10.809,267.7,662.17,268.7
10.81,267.7,662.18,268.71
